"Name","DisplayName","Status","StartType"
"hidserv","Human Interface Device Service","Running","Manual"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual"
"HPPrintScanDoctorService","HP Print Scan Doctor Service","Running","Automatic"
"HvHost","HV Host Service","Stopped","Manual"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual"
"igccservice","Intel(R) Graphics Command Center Service","Running","Automatic"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual"
"InstallService","Microsoft Store Install Service","Running","Manual"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped","Automatic"
"IntelGraphicsSoftwareService","Intel® Graphics Software","Running","Automatic"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Automatic"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Automatic"
"iphlpsvc","IP Helper","Running","Automatic"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic"
"KeyIso","CNG Key Isolation","Running","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LanmanServer","Server","Running","Automatic"
"LanmanWorkstation","Workstation","Running","Automatic"
"lfsvc","Geolocation Service","Running","Manual"
"LicenseManager","Windows License Manager Service","Running","Manual"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual"
"LSM","Local Session Manager","Running","Automatic"
"LxpSvc","Language Experience Service","Stopped","Manual"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic"
"McmSvc","Mobile Connectivity Management Service","Stopped","Manual"
"McpManagementService","McpManagementService","Stopped","Manual"
"MDCoreSvc","Microsoft Defender Core Service","Running","Automatic"
"MessagingService_cb432","MessagingService_cb432","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"midisrv","Windows MIDI Service","Stopped","Manual"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"NaturalAuthentication","Natural Authentication","Stopped","Manual"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual"
"Netlogon","Netlogon","Stopped","Manual"
"Netman","Network Connections","Stopped","Manual"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Running","Manual"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual"
"NgcSvc","Microsoft Passport","Running","Manual"
"NlaSvc","Network Location Awareness","Stopped","Manual"
"NPSMSvc_cb432","Now Playing Session Manager Service_cb432","Running","Manual"
"nsi","Network Store Interface Service","Running","Automatic"
"OneSyncSvc_cb432","Sync Host_cb432","Running","Automatic"
"P9RdrService_cb432","P9RdrService_cb432","Stopped","Manual"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic"
"PeerDistSvc","BranchCache","Stopped","Manual"
"PenService_cb432","PenService_cb432","Stopped","Manual"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PhoneSvc","Phone Service","Running","Manual"
"PimIndexMaintenanceSvc_cb432","Contact Data_cb432","Running","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual"
"Power","Power","Running","Automatic"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual"
"PrintWorkflowUserSvc_cb432","PrintWorkflow_cb432","Running","Manual"
"ProfSvc","User Profile Service","Running","Automatic"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual"
"RasMan","Remote Access Connection Manager","Running","Manual"
"refsdedupsvc","ReFS Dedup Service","Stopped","Manual"
"RetailDemo","Retail Demo Service","Stopped","Manual"
"RmSvc","Radio Management Service","Running","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic"
"RTUsbSwSrvc","RTUsbSwSrvc","Running","Automatic"
"SamSs","Security Accounts Manager","Running","Automatic"
"SCardSvr","Smart Card","Stopped","Manual"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual"
"Schedule","Task Scheduler","Running","Automatic"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual"
"SDRSVC","Windows Backup","Stopped","Manual"
"seclogon","Secondary Logon","Stopped","Manual"
"SecurityHealthService","Windows Security Service","Running","Manual"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual"
"SENS","System Event Notification Service","Running","Automatic"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual"
"SensorDataService","Sensor Data Service","Stopped","Manual"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Manual"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic"
"smphost","Microsoft Storage Spaces SMP","Running","Manual"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual"
"SNMPTrap","SNMP Trap","Stopped","Manual"
"Spooler","Print Spooler","Running","Automatic"
"sppsvc","Software Protection","Stopped","Automatic"
"SSDPSRV","SSDP Discovery","Running","Manual"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual"
"StateRepository","State Repository Service","Running","Automatic"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual"
"StorSvc","Storage Service","Running","Automatic"
"svsvc","Spot Verifier","Stopped","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","System Events Broker","Running","Automatic"
"TapiSrv","Telephony","Stopped","Manual"
"TermService","Remote Desktop Services","Stopped","Manual"
"TextInputManagementService","Text Input Management Service","Running","Automatic"
"Themes","Themes","Running","Automatic"
"TieringEngineService","Storage Tiers Management","Stopped","Manual"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","Web Account Manager","Running","Manual"
"TrkWks","Distributed Link Tracking Client","Running","Automatic"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual"
"TrustedInstaller","Windows Modules Installer","Running","Manual"
"tzautoupdate","Auto Time Zone Updater","Stopped","Manual"
"UdkUserSvc_cb432","Udk User Service_cb432","Running","Manual"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual"
"UnistoreSvc_cb432","User Data Storage_cb432","Running","Manual"
"upnphost","UPnP Device Host","Stopped","Manual"
"UserDataSvc_cb432","User Data Access_cb432","Running","Manual"
"UserManager","User Manager","Running","Automatic"
"UsoSvc","Update Orchestrator Service","Running","Automatic"
"VaultSvc","Credential Manager","Running","Manual"
"vds","Virtual Disk","Stopped","Manual"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"VSS","Volume Shadow Copy","Stopped","Manual"
"W32Time","Windows Time","Stopped","Manual"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual"
"WalletService","WalletService","Stopped","Manual"
"WarpJITSvc","Warp JIT Service","Stopped","Manual"
"WavesAudioService","Waves Audio Universal Services","Running","Automatic"
"WavesSysSvc","Waves Audio Services","Running","Automatic"
"wbengine","Block Level Backup Engine Service","Stopped","Manual"
"WbioSrvc","Windows Biometric Service","Stopped","Manual"
"Wcmsvc","Windows Connection Manager","Running","Automatic"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual"
"WdiSystemHost","Diagnostic System Host","Running","Manual"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual"
"WebClient","WebClient","Running","Manual"
"webthreatdefsvc","Web Threat Defense Service","Running","Manual"
"webthreatdefusersvc_cb432","Web Threat Defense User Service_cb432","Running","Automatic"
"Wecsvc","Windows Event Collector","Stopped","Manual"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual"
"WerSvc","Windows Error Reporting Service","Stopped","Manual"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual"
"whesvc","Windows Health and Optimized Experiences","Running","Automatic"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual"
"WinDefend","Microsoft Defender Antivirus Service","Running","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"Winmgmt","Windows Management Instrumentation","Running","Automatic"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual"
"wisvc","Windows Insider Service","Stopped","Manual"
"WlanSvc","WLAN AutoConfig","Running","Automatic"
"wlidsvc","Microsoft Account Sign-in Assistant","Running","Manual"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual"
"WManSvc","Windows Management Service","Stopped","Manual"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","Automatic"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual"
"workfolderssvc","Work Folders","Stopped","Manual"
"WpcMonSvc","Parental Controls","Stopped","Manual"
"WPDBusEnum","Portable Device Enumerator Service","Running","Manual"
"WpnService","Windows Push Notifications System Service","Running","Automatic"
"WpnUserService_cb432","Windows Push Notifications User Service_cb432","Running","Automatic"
"WSAIFabricSvc","WSAIFabricSvc","Running","Automatic"
"wscsvc","Security Center","Running","Automatic"
"WSearch","Windows Search","Running","Automatic"
"wuauserv","Windows Update","Stopped","Manual"
"wuqisvc","Microsoft Usage and Quality Insights","Stopped","Manual"
"WwanSvc","WWAN AutoConfig","Stopped","Manual"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual"
"XblGameSave","Xbox Live Game Save","Stopped","Manual"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual"
"ZTHELPER","ZTDNS Helper service","Stopped","Manual"
